Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Gold Medal;1;08/03/2024;LIM Sihyeon;W;Archery;ARC;Women's Individual;https://olympics.com/en/paris-2024/results/archery/women-s-individual/fnl-000100--;KOR;Korea
Gold Medal;1;08/04/2024;FAN Zhendong;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--;CHN;China
Gold Medal;1;08/07/2024;Panipak WONGPATTANAKIT;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--;THA;Thailand
Bronze Medal;3;27/07/2024;Wout van AERT;M;Cycling Road;CRD;Men's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;BEL;Belgium
Bronze Medal;3;08/01/2024;Alvaro MARTIN;M;Athletics;ATH;Men's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--;ESP;Spain
Bronze Medal;3;08/03/2024;Jake JARMAN;M;Artistic Gymnastics;GAR;Men's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;GBR;Great Britain
Silver Medal;2;31/07/2024;Kristof MILAK;M;Swimming;SWM;Men's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--;HUN;Hungary
Bronze Medal;3;31/07/2024;Isabel GOSE;W;Swimming;SWM;Women's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--;GER;Germany
Bronze Medal;3;08/04/2024;Yunior ALCANTARA REYES;M;Boxing;BOX;Men's 51kg;https://olympics.com/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--;DOM;Dominican Republic
Gold Medal;1;08/09/2024;Kristof RASOVSZKY;M;Marathon Swimming;OWS;Men's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--;HUN;Hungary
Gold Medal;1;28/07/2024;Leon MARCHAND;M;Swimming;SWM;Men's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--;FRA;France
Silver Medal;2;08/07/2024;GUO Qing;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--;CHN;China
Silver Medal;2;08/05/2024;Faith KIPYEGON;W;Athletics;ATH;Women's 5000m;https://olympics.com/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--;KEN;Kenya
Bronze Medal;3;08/09/2024;Jack CARLIN;M;Cycling Track;CTR;Men's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------;GBR;Great Britain
Gold Medal;1;29/07/2024;Thomas PIDCOCK;M;Cycling Mountain Bike;MTB;Men's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/05/2024;LI Yuehong;M;Shooting;SHO;25m Rapid Fire Pistol Men;https://olympics.com/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--;CHN;China
Gold Medal;1;08/01/2024;LIU Yukun;M;Shooting;SHO;50m Rifle 3 Positions Men;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--;CHN;China
Silver Medal;2;31/07/2024;Silvana Maria STANCO;W;Shooting;SHO;Trap Women;https://olympics.com/en/paris-2024/results/shooting/trap-women/fnl-000100--;ITA;Italy
Silver Medal;2;08/09/2024;Salwa Eid NASER;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;BRN;Bahrain
Bronze Medal;3;08/08/2024;Fabio van den BOSSCHE;M;Cycling Track;CTR;Men's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--;BEL;Belgium
Silver Medal;2;27/07/2024;Auriane MALLO-BRETON;W;Fencing;FEN;Women's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--;FRA;France
Silver Medal;2;28/07/2024;Yannick BOREL;M;Fencing;FEN;Men's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--;FRA;France
Gold Medal;1;08/10/2024;LIU Huanhua;M;Weightlifting;WLF;Men's 102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--;CHN;China
Gold Medal;1;08/07/2024;LI Fabin;M;Weightlifting;WLF;Men's 61kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--;CHN;China
Gold Medal;1;08/11/2024;LI Wenwen;W;Weightlifting;WLF;Women's +81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--;CHN;China
Bronze Medal;3;08/02/2024;YAN Langyu;M;Trampoline Gymnastics;GTR;Men;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;CHN;China
Bronze Medal;3;08/05/2024;ZHANG Boheng;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;CHN;China
Bronze Medal;3;08/05/2024;OKA Shinnosuke;M;Artistic Gymnastics;GAR;Men's Parallel Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--;JPN;Japan
Bronze Medal;3;08/09/2024;HONG Kexin;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--;CHN;China
Silver Medal;2;27/07/2024;Filippo GANNA;M;Cycling Road;CRD;Men's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;ITA;Italy
Silver Medal;2;29/07/2024;Filippo MACCHI;M;Fencing;FEN;Men's Foil Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--;ITA;Italy
Bronze Medal;3;29/07/2024;HAUGHEY Siobhan Bernadette;W;Swimming;SWM;Women's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--;HKG;Hong Kong, China
Gold Medal;1;08/01/2024;Alice BELLANDI;W;Judo;JUD;Women -78 kg;https://olympics.com/en/paris-2024/results/judo/women--78-kg/fnl-000100--;ITA;Italy
Silver Medal;2;08/04/2024;Gregorio PALTRINIERI;M;Swimming;SWM;Men's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--;ITA;Italy
Gold Medal;1;29/07/2024;Thomas CECCON;M;Swimming;SWM;Men's 100m Backstroke;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--;ITA;Italy
Bronze Medal;3;08/08/2024;Ginevra TADDEUCCI;W;Marathon Swimming;OWS;Women's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--;ITA;Italy
Silver Medal;2;31/07/2024;Hayden WILDE;M;Triathlon;TRI;Men's Individual;https://olympics.com/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--;NZL;New Zealand
Gold Medal;1;08/10/2024;Hamish KERR;M;Athletics;ATH;Men's High Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--;NZL;New Zealand
Silver Medal;2;08/09/2024;YANG Liu;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--;CHN;China
Gold Medal;1;08/08/2024;CHANG Yuan;W;Boxing;BOX;Women's 54kg;https://olympics.com/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--;CHN;China
Gold Medal;1;08/09/2024;WU Yu;W;Boxing;BOX;Women's 50kg;https://olympics.com/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--;CHN;China
Silver Medal;2;08/03/2024;Emma TWIGG;W;Rowing;ROW;Women's Single Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------;NZL;New Zealand
Bronze Medal;3;08/03/2024;Hina HAYATA;W;Table Tennis;TTE;Women's Singles;https://olympics.com/en/paris-2024/results/table-tennis/women-s-singles/fnl-000200--;JPN;Japan
Bronze Medal;3;08/06/2024;Nazym KYZAIBAY;W;Boxing;BOX;Women's 50kg;https://olympics.com/en/paris-2024/results/boxing/women-s-50kg/sfnl000100--;KAZ;Kazakhstan
Bronze Medal;3;08/11/2024;Hellen OBIRI;W;Athletics;ATH;Women's Marathon;https://olympics.com/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--;KEN;Kenya
Bronze Medal;3;08/04/2024;Enmanuel REYES PLA;M;Boxing;BOX;Men's 92kg;https://olympics.com/en/paris-2024/results/boxing/men-s-92kg/sfnl000100--;ESP;Spain
Gold Medal;1;08/01/2024;Kate DOUGLASS;W;Swimming;SWM;Women's 200m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--;USA;United States
Bronze Medal;3;28/07/2024;Carson FOSTER;M;Swimming;SWM;Men's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--;USA;United States
Silver Medal;2;08/02/2024;Regan SMITH;W;Swimming;SWM;Women's 200m Backstroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;USA;United States
Silver Medal;2;28/07/2024;Gretchen WALSH;W;Swimming;SWM;Women's 100m Butterfly;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--;USA;United States
Gold Medal;1;08/02/2024;Ivan LITVINOVICH;M;Trampoline Gymnastics;GTR;Men;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;AIN;AIN
Silver Medal;2;27/07/2024;Fares FERJANI;M;Fencing;FEN;Men's Sabre Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--;TUN;Tunisia
Gold Medal;1;08/07/2024;KUSAKA Nao;M;Wrestling;WRE;Men's Greco-Roman 77kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--;JPN;Japan
Gold Medal;1;08/11/2024;KAGAMI Yuka;W;Wrestling;WRE;Women's Freestyle 76kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--;JPN;Japan
Silver Medal;2;08/10/2024;TAKATANI Daichi;M;Wrestling;WRE;Men's Freestyle 74kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--;JPN;Japan
Bronze Medal;3;08/06/2024;OZAKI Nonoka;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000200--;JPN;Japan
Bronze Medal;3;08/01/2024;Jemima MONTAG;W;Athletics;ATH;Women's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--;AUS;Australia
Bronze Medal;3;31/07/2024;Natalya DIEHM;W;Cycling BMX Freestyle;BMF;Women's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--;AUS;Australia
Gold Medal;1;27/07/2024;Grace BROWN;W;Cycling Road;CRD;Women's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;AUS;Australia
Gold Medal;1;08/05/2024;Noemie FOX;W;Canoe Slalom;CSL;Women's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------;AUS;Australia
Gold Medal;1;08/08/2024;Rizki JUNIANSYAH;M;Weightlifting;WLF;Men's 73kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--;INA;Indonesia
Silver Medal;2;28/07/2024;Klaudia ZWOLINSKA;W;Canoe Slalom;CSL;Women's Kayak Single;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--;POL;Poland
Bronze Medal;3;08/04/2024;Cristian Javier PINALES;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/sfnl000100--;DOM;Dominican Republic
Silver Medal;2;29/07/2024;Jagger EATON;M;Skateboarding;SKB;Men's Street;https://olympics.com/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--;USA;United States
Bronze Medal;3;28/07/2024;ZHANG Yufei;W;Swimming;SWM;Women's 100m Butterfly;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--;CHN;China
Bronze Medal;3;08/04/2024;ZHANG Yufei;W;Swimming;SWM;Women's 50m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--;CHN;China
Silver Medal;2;08/05/2024;Jack ROBINSON;M;Surfing;SRF;Men;https://olympics.com/en/paris-2024/results/surfing/men/fnl---------;AUS;Australia
Gold Medal;1;08/02/2024;Cameron McEVOY;M;Swimming;SWM;Men's 50m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--;AUS;Australia
Bronze Medal;3;08/03/2024;Kaylee McKEOWN;W;Swimming;SWM;Women's 200m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--;AUS;Australia
Silver Medal;2;31/07/2024;Kyle CHALMERS;M;Swimming;SWM;Men's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--;AUS;Australia
Gold Medal;1;29/07/2024;Mollie O'CALLAGHAN;W;Swimming;SWM;Women's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--;AUS;Australia
Bronze Medal;3;08/10/2024;Giorgi MESHVILDISHVILI;M;Wrestling;WRE;Men's Freestyle 125kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--;AZE;Azerbaijan
Gold Medal;1;08/09/2024;AMI;W;Breaking;BKG;B-Girls;https://olympics.com/en/paris-2024/results/breaking/b-girls/fnl-000100--;JPN;Japan
Silver Medal;2;28/07/2024;Haley BATTEN;W;Cycling Mountain Bike;MTB;Women's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--;USA;United States
Silver Medal;2;31/07/2024;Perris BENEGAS;W;Cycling BMX Freestyle;BMF;Women's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--;USA;United States
Gold Medal;1;08/11/2024;Jennifer VALENTE;W;Cycling Track;CTR;Women's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--;USA;United States
Bronze Medal;3;31/07/2024;Evy LEIBFARTH;W;Canoe Slalom;CSL;Women's Canoe Single;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--;USA;United States
Gold Medal;1;29/07/2024;Christa DEGUCHI;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/fnl-000100--;CAN;Canada
Bronze Medal;3;08/07/2024;Augusto AKIO;M;Skateboarding;SKB;Men's Park;https://olympics.com/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--;BRA;Brazil
Bronze Medal;3;08/05/2024;Gabriel MEDINA;M;Surfing;SRF;Men;https://olympics.com/en/paris-2024/results/surfing/men/fnl---------;BRA;Brazil
Silver Medal;2;08/05/2024;Tatiana WESTON-WEBB;W;Surfing;SRF;Women;https://olympics.com/en/paris-2024/results/surfing/women/fnl---------;BRA;Brazil
Bronze Medal;3;08/08/2024;Edival PONTES;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/repf000200--;BRA;Brazil
Silver Medal;2;08/09/2024;Aleksandra PERISIC;W;Taekwondo;TKW;Women -67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--;SRB;Serbia
Silver Medal;2;08/07/2024;Demeu ZHADRAYEV;M;Wrestling;WRE;Men's Greco-Roman 77kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--;KAZ;Kazakhstan
Gold Medal;1;08/10/2024;PHIL WIZARD;M;Breaking;BKG;B-Boys;https://olympics.com/en/paris-2024/results/breaking/b-boys/fnl-000100--;CAN;Canada
Gold Medal;1;31/07/2024;Adriana RUANO OLIVA;W;Shooting;SHO;Trap Women;https://olympics.com/en/paris-2024/results/shooting/trap-women/fnl-000100--;GUA;Guatemala
Bronze Medal;3;30/07/2024;Jean Pierre BROL CARDENAS;M;Shooting;SHO;Trap Men;https://olympics.com/en/paris-2024/results/shooting/trap-men/fnl-000100--;GUA;Guatemala
Bronze Medal;3;08/01/2024;Sunisa LEE;W;Artistic Gymnastics;GAR;Women's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--;USA;United States
Bronze Medal;3;08/08/2024;Noah LYLES;M;Athletics;ATH;Men's 200m;https://olympics.com/en/paris-2024/results/athletics/men-s-200m/fnl-000100--;USA;United States
Silver Medal;2;08/03/2024;Sha'carri RICHARDSON;W;Athletics;ATH;Women's 100m;https://olympics.com/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;USA;United States
Silver Medal;2;08/08/2024;Kenneth BEDNAREK;M;Athletics;ATH;Men's 200m;https://olympics.com/en/paris-2024/results/athletics/men-s-200m/fnl-000100--;USA;United States
Gold Medal;1;08/08/2024;Tara DAVIS-WOODHALL;W;Athletics;ATH;Women's Long Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--;USA;United States
Bronze Medal;3;08/10/2024;Grant FISHER;M;Athletics;ATH;Men's 5000m;https://olympics.com/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--;USA;United States
Gold Medal;1;08/08/2024;Grant HOLLOWAY;M;Athletics;ATH;Men's 110m Hurdles;https://olympics.com/en/paris-2024/results/athletics/men-s-110m-hurdles/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;Melissa JEFFERSON;W;Athletics;ATH;Women's 100m;https://olympics.com/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;USA;United States
Bronze Medal;3;08/04/2024;MATSUYAMA Hideki;M;Golf;GLF;Men's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------;JPN;Japan
Gold Medal;1;29/07/2024;CHEUNG Ka Long;M;Fencing;FEN;Men's Foil Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--;HKG;Hong Kong, China
Silver Medal;2;08/03/2024;Joe KOVACS;M;Athletics;ATH;Men's Shot Put;https://olympics.com/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--;USA;United States
Silver Medal;2;08/10/2024;Atheyna Bibeichi BYLON;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--;PAN;Panama
Gold Medal;1;08/06/2024;Gabrielle THOMAS;W;Athletics;ATH;Women's 200m;https://olympics.com/en/paris-2024/results/athletics/women-s-200m/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;Ilya KHARUN;M;Swimming;SWM;Men's 100m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--;CAN;Canada
Silver Medal;2;27/07/2024;Summer McINTOSH;W;Swimming;SWM;Women's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--;CAN;Canada
Gold Medal;1;29/07/2024;Summer McINTOSH;W;Swimming;SWM;Women's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--;CAN;Canada
Gold Medal;1;08/01/2024;Summer McINTOSH;W;Swimming;SWM;Women's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--;CAN;Canada
Silver Medal;2;08/04/2024;Marianne VOS;W;Cycling Road;CRD;Women's Road Race;https://olympics.com/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--;NED;Netherlands
Silver Medal;2;08/08/2024;Hetty van de WOUW;W;Cycling Track;CTR;Women's Keirin;https://olympics.com/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------;NED;Netherlands
Bronze Medal;3;08/08/2024;Annelous LAMMERTS;W;Sailing;SAL;Women's Kite;https://olympics.com/en/paris-2024/results/sailing/women-s-kite/fnl-000200--;NED;Netherlands
Bronze Medal;3;08/08/2024;Femke BOL;W;Athletics;ATH;Women's 400m Hurdles;https://olympics.com/en/paris-2024/results/athletics/women-s-400m-hurdles/fnl-000100--;NED;Netherlands
Bronze Medal;3;08/05/2024;Sifan HASSAN;W;Athletics;ATH;Women's 5000m;https://olympics.com/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--;NED;Netherlands
Bronze Medal;3;08/04/2024;Wyatt SANFORD;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000100--;CAN;Canada
Gold Medal;1;08/01/2024;Zelym KOTSOIEV;M;Judo;JUD;Men -100 kg;https://olympics.com/en/paris-2024/results/judo/men--100-kg/fnl-000100--;AZE;Azerbaijan
Silver Medal;2;08/10/2024;Marco AROP;M;Athletics;ATH;Men's 800m;https://olympics.com/en/paris-2024/results/athletics/men-s-800m/fnl-000100--;CAN;Canada
Gold Medal;1;08/02/2024;Chiara LEONE;W;Shooting;SHO;50m Rifle 3 Positions Women;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;SUI;Switzerland
Silver Medal;2;08/04/2024;Kishane THOMPSON;M;Athletics;ATH;Men's 100m;https://olympics.com/en/paris-2024/results/athletics/men-s-100m/fnl-000100--;JAM;Jamaica
Silver Medal;2;08/02/2024;Germany;X;Archery;ARC;Mixed Team;https://olympics.com/en/paris-2024/results/archery/mixed-team/fnl-000100--;GER;Germany
Gold Medal;1;08/09/2024;Canada;M;Athletics;ATH;Men's 4 x 100m Relay;https://olympics.com/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--;CAN;Canada
Silver Medal;2;08/10/2024;Botswana;M;Athletics;ATH;Men's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--;BOT;Botswana
Gold Medal;1;08/09/2024;United States;W;Athletics;ATH;Women's 4 x 100m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--;USA;United States
Bronze Medal;3;08/07/2024;COWLEY R/MONTAG J;X;Athletics;ATH;Marathon Race Walk Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--;AUS;Australia
Bronze Medal;3;08/03/2024;Great Britain;X;Athletics;ATH;4 x 400m Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/04/2024;LIANG/WANG;M;Badminton;BDM;Men's Doubles;https://olympics.com/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--;CHN;China
Bronze Medal;3;08/04/2024;CHIA/SOH;M;Badminton;BDM;Men's Doubles;https://olympics.com/en/paris-2024/results/badminton/men-s-doubles/fnl-000200--;MAS;Malaysia
Gold Medal;1;08/03/2024;CHEN/JIA;W;Badminton;BDM;Women's Doubles;https://olympics.com/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--;CHN;China
Bronze Medal;3;08/08/2024;MORENO/DOMINGUEZ;M;Canoe Sprint;CSP;Men's Canoe Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------;ESP;Spain
Silver Medal;2;08/08/2024;CASADEI/TACCHINI;M;Canoe Sprint;CSP;Men's Canoe Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------;ITA;Italy
Gold Medal;1;08/09/2024;SCHOPF/LEMKE;M;Canoe Sprint;CSP;Men's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------;GER;Germany
Silver Medal;2;08/09/2024;LUZAN/RYBACHOK;W;Canoe Sprint;CSP;Women's Canoe Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------;UKR;Ukraine
Silver Medal;2;08/09/2024;CSIPES/GAZSO;W;Canoe Sprint;CSP;Women's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------;HUN;Hungary
Bronze Medal;3;08/10/2024;Denmark;M;Cycling Track;CTR;Men's Madison;https://olympics.com/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--;DEN;Denmark
Bronze Medal;3;08/06/2024;Australia;M;Cycling Track;CTR;Men's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------;AUS;Australia
Bronze Medal;3;08/09/2024;Netherlands;W;Cycling Track;CTR;Women's Madison;https://olympics.com/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--;NED;Netherlands
Silver Medal;2;31/07/2024;DPR Korea;W;Diving;DIV;Women's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--;PRK;DPR Korea
Silver Medal;2;08/03/2024;Denmark;O;Equestrian;EQD;Dressage Team;https://olympics.com/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;DEN;Denmark
Bronze Medal;3;08/08/2024;Morocco;M;Football;FBL;Men;https://olympics.com/en/paris-2024/results/football/men/fnl-000200--;MAR;Morocco
Gold Medal;1;08/04/2024;Japan;M;Fencing;FEN;Men's Foil Team;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--;JPN;Japan
Gold Medal;1;31/07/2024;Korea;M;Fencing;FEN;Men's Sabre Team;https://olympics.com/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000100--;KOR;Korea
Gold Medal;1;29/07/2024;Japan;M;Artistic Gymnastics;GAR;Men's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--;JPN;Japan
Bronze Medal;3;30/07/2024;Brazil;W;Artistic Gymnastics;GAR;Women's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--;BRA;Brazil
Gold Medal;1;30/07/2024;United States;W;Artistic Gymnastics;GAR;Women's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--;USA;United States
Bronze Medal;3;08/09/2024;Argentina;W;Hockey;HOC;Women;https://olympics.com/en/paris-2024/results/hockey/women/fnl-000200--;ARG;Argentina
Gold Medal;1;08/09/2024;Netherlands;W;Hockey;HOC;Women;https://olympics.com/en/paris-2024/results/hockey/women/fnl-000100--;NED;Netherlands
Silver Medal;2;08/03/2024;Japan;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/fnl-00010000;JPN;Japan
Gold Medal;1;08/02/2024;Ireland;M;Rowing;ROW;Lightweight Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;IRL;Ireland
Silver Medal;2;08/03/2024;Canada;W;Rowing;ROW;Women's Eight;https://olympics.com/en/paris-2024/results/rowing/women-s-eight/fnl---------;CAN;Canada
Gold Medal;1;08/02/2024;Netherlands;W;Rowing;ROW;Women's Pair;https://olympics.com/en/paris-2024/results/rowing/women-s-pair/fnl---------;NED;Netherlands
