Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Gold Medal;1;08/02/2024;Korea;X;Archery;ARC;Mixed Team;https://olympics.com/en/paris-2024/results/archery/mixed-team/fnl-000100--;KOR;Korea
Bronze Medal;3;08/10/2024;Great Britain;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/10/2024;United States;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;USA;United States
Gold Medal;1;08/04/2024;LEE/WANG;M;Badminton;BDM;Men's Doubles;https://olympics.com/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--;TPE;Chinese Taipei
Silver Medal;2;08/03/2024;LIU/TAN;W;Badminton;BDM;Women's Doubles;https://olympics.com/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--;CHN;China
Silver Medal;2;08/05/2024;Spain;W;3x3 Basketball;BK3;Women;https://olympics.com/en/paris-2024/results/3x3-basketball/women/fnl-000100--;ESP;Spain
Bronze Medal;3;08/11/2024;Australia;W;Basketball;BKB;Women;https://olympics.com/en/paris-2024/results/basketball/women/fnl-000200--;AUS;Australia
Silver Medal;2;08/11/2024;France;W;Basketball;BKB;Women;https://olympics.com/en/paris-2024/results/basketball/women/fnl-000100--;FRA;France
Bronze Medal;3;08/09/2024;van der WE/GREEN;M;Canoe Sprint;CSP;Men's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------;AUS;Australia
Silver Medal;2;08/09/2024;NADAS/TOTKA;M;Canoe Sprint;CSP;Men's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------;HUN;Hungary
Silver Medal;2;08/08/2024;Germany;W;Canoe Sprint;CSP;Women's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------;GER;Germany
Gold Medal;1;08/06/2024;Netherlands;M;Cycling Track;CTR;Men's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------;NED;Netherlands
Bronze Medal;3;08/07/2024;Great Britain;W;Cycling Track;CTR;Women's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------;GBR;Great Britain
Silver Medal;2;08/07/2024;New Zealand;W;Cycling Track;CTR;Women's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------;NZL;New Zealand
Gold Medal;1;08/05/2024;Great Britain;W;Cycling Track;CTR;Women's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------;GBR;Great Britain
Bronze Medal;3;29/07/2024;Canada;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;CAN;Canada
Silver Medal;2;29/07/2024;Great Britain;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/03/2024;Germany;O;Equestrian;EQD;Dressage Team;https://olympics.com/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;GER;Germany
Gold Medal;1;08/02/2024;Great Britain;O;Equestrian;EQD;Jumping Team;https://olympics.com/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/09/2024;Spain;M;Football;FBL;Men;https://olympics.com/en/paris-2024/results/football/men/fnl-000100--;ESP;Spain
Silver Medal;2;08/10/2024;Brazil;W;Football;FBL;Women;https://olympics.com/en/paris-2024/results/football/women/fnl-000100--;BRA;Brazil
Silver Medal;2;08/02/2024;Japan;M;Fencing;FEN;Men's Épée Team;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--;JPN;Japan
Silver Medal;2;30/07/2024;France;W;Fencing;FEN;Women's Épée Team;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--;FRA;France
Silver Medal;2;30/07/2024;Italy;W;Artistic Gymnastics;GAR;Women's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--;ITA;Italy
Bronze Medal;3;08/10/2024;Italy;W;Rhythmic Gymnastics;GRY;Group All-Around;;ITA;Italy
Bronze Medal;3;08/08/2024;India;M;Hockey;HOC;Men;https://olympics.com/en/paris-2024/results/hockey/men/fnl-000200--;IND;India
Bronze Medal;3;08/03/2024;Brazil;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/repf00010000;BRA;Brazil
Gold Medal;1;08/03/2024;France;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/fnl-00010000;FRA;France
Gold Medal;1;08/03/2024;Great Britain;M;Rowing;ROW;Men's Eight;https://olympics.com/en/paris-2024/results/rowing/men-s-eight/fnl---------;GBR;Great Britain
Silver Medal;2;08/02/2024;Great Britain;M;Rowing;ROW;Men's Pair;https://olympics.com/en/paris-2024/results/rowing/men-s-pair/fnl---------;GBR;Great Britain
Bronze Medal;3;08/01/2024;Great Britain;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;GBR;Great Britain
Gold Medal;1;08/01/2024;United States;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;USA;United States
Silver Medal;2;30/07/2024;Canada;W;Rugby Sevens;RU7;Women;https://olympics.com/en/paris-2024/results/rugby-sevens/women/fnl-000100--;CAN;Canada
Bronze Medal;3;08/02/2024;STEYAERT/PICON;W;Sailing;SAL;Women's Skiff;https://olympics.com/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;FRA;France
Gold Medal;1;08/08/2024;VADLAU/MAEHR;X;Sailing;SAL;Mixed Dinghy;https://olympics.com/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--;AUT;Austria
Bronze Medal;3;30/07/2024;India 1;X;Shooting;SHO;10m Air Pistol Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000200--;IND;India
Gold Medal;1;08/05/2024;Italy 1;X;Shooting;SHO;Skeet Mixed Team;https://olympics.com/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--;ITA;Italy
Silver Medal;2;08/05/2024;United States 1;X;Shooting;SHO;Skeet Mixed Team;https://olympics.com/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--;USA;United States
Gold Medal;1;08/10/2024;China;W;Artistic Swimming;SWA;Duet;https://olympics.com/en/paris-2024/results/artistic-swimming/duet/fnl-000100--;CHN;China
Bronze Medal;3;08/07/2024;Spain;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;ESP;Spain
Gold Medal;1;27/07/2024;United States;M;Swimming;SWM;Men's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--;USA;United States
Bronze Medal;3;27/07/2024;China;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;CHN;China
Silver Medal;2;27/07/2024;United States;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;FRITZ/PAUL;M;Tennis;TEN;Men's Doubles;https://olympics.com/en/paris-2024/results/tennis/men-s-doubles/fnl-000200--;USA;United States
Silver Medal;2;08/03/2024;KRAJICEK/RAM;M;Tennis;TEN;Men's Doubles;https://olympics.com/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--;USA;United States
Silver Medal;2;08/04/2024;ANDREEVA/SHNAIDER;W;Tennis;TEN;Women's Doubles;https://olympics.com/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--;AIN;AIN
Bronze Medal;3;08/04/2024;BUCSA/SORRIBES TORMO;W;Tennis;TEN;Women's Doubles;https://olympics.com/en/paris-2024/results/tennis/women-s-doubles/fnl-000200--;ESP;Spain
Bronze Medal;3;08/02/2024;DABROWSKI/AUGER-ALIAS;X;Tennis;TEN;Mixed Doubles;https://olympics.com/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--;CAN;Canada
Gold Medal;1;08/02/2024;SINIAKOVA/MACHAC;X;Tennis;TEN;Mixed Doubles;https://olympics.com/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--;CZE;Czechia
Bronze Medal;3;08/05/2024;Great Britain;X;Triathlon;TRI;Mixed Relay;https://olympics.com/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--;GBR;Great Britain
Gold Medal;1;30/07/2024;WANG/SUN;X;Table Tennis;TTE;Mixed Doubles;https://olympics.com/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--;CHN;China
Bronze Medal;3;30/07/2024;LIM/SHIN;X;Table Tennis;TTE;Mixed Doubles;https://olympics.com/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000200--;KOR;Korea
Silver Medal;2;08/09/2024;MELISSA/BRANDIE;W;Beach Volleyball;VBV;Women;https://olympics.com/en/paris-2024/results/beach-volleyball/women/fnl-000100--;CAN;Canada
Bronze Medal;3;08/09/2024;HUBERLI/BRUNNER;W;Beach Volleyball;VBV;Women;https://olympics.com/en/paris-2024/results/beach-volleyball/women/fnl-000200--;SUI;Switzerland
Bronze Medal;3;08/10/2024;Brazil;W;Volleyball;VVO;Women;https://olympics.com/en/paris-2024/results/volleyball/women/fnl-000200--;BRA;Brazil
Silver Medal;2;08/07/2024;Artur ALEKSANYAN;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--;ARM;Armenia
Silver Medal;2;08/09/2024;Mehran BARKHORDARI;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--;IRI;IR Iran
Bronze Medal;3;08/07/2024;Mobina NEMATZADEH;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/repf000100--;IRI;IR Iran
Bronze Medal;3;08/11/2024;Sebastian C RIVERA;M;Wrestling;WRE;Men's Freestyle 65kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--;PUR;Puerto Rico
Silver Medal;2;08/06/2024;Julien ALFRED;W;Athletics;ATH;Women's 200m;https://olympics.com/en/paris-2024/results/athletics/women-s-200m/fnl-000100--;LCA;Saint Lucia
Bronze Medal;3;08/11/2024;Amirali AZARPIRA;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--;IRI;IR Iran
Bronze Medal;3;29/07/2024;Mona Mc SHARRY;W;Swimming;SWM;Women's 100m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--;IRL;Ireland
Bronze Medal;3;31/07/2024;Leo BERGERE;M;Triathlon;TRI;Men's Individual;https://olympics.com/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--;FRA;France
Bronze Medal;3;08/11/2024;Emily CAMPBELL;W;Weightlifting;WLF;Women's +81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/07/2024;Mohammadhadi SARAVI;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--;IRI;IR Iran
Bronze Medal;3;08/08/2024;Zhan BELENIUK;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000100--;UKR;Ukraine
Silver Medal;2;08/08/2024;Parviz NASIBOV;M;Wrestling;WRE;Men's Greco-Roman 67kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--;UKR;Ukraine
